[rosmaster.main][INFO] 2021-06-21 07:44:06,722: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2021-06-21 07:44:06,722: Starting ROS Master Node
[rosmaster.master][INFO] 2021-06-21 07:44:08,236: +SERVICE [/gazebo/get_light_properties] /gazebo http://c0cf3ac15434:33597/
[rosmaster.master][INFO] 2021-06-21 07:44:08,236: +SERVICE [/gazebo/set_light_properties] /gazebo http://c0cf3ac15434:33597/
[rosmaster.master][INFO] 2021-06-21 07:44:08,237: +SERVICE [/gazebo/get_physics_properties] /gazebo http://c0cf3ac15434:33597/
[rosmaster.master][INFO] 2021-06-21 07:44:08,238: +PUB [/gazebo/link_states] /gazebo http://c0cf3ac15434:33597/
[rosmaster.master][INFO] 2021-06-21 07:44:08,239: +PUB [/gazebo/model_states] /gazebo http://c0cf3ac15434:33597/
[rosmaster.master][INFO] 2021-06-21 07:44:08,239: +SERVICE [/gazebo/set_link_properties] /gazebo http://c0cf3ac15434:33597/
[rosmaster.master][INFO] 2021-06-21 07:44:08,240: +SERVICE [/gazebo/set_physics_properties] /gazebo http://c0cf3ac15434:33597/
[rosmaster.master][INFO] 2021-06-21 07:44:08,241: +SERVICE [/gazebo/set_model_state] /gazebo http://c0cf3ac15434:33597/
[rosmaster.master][INFO] 2021-06-21 07:44:08,241: +SERVICE [/gazebo/set_model_configuration] /gazebo http://c0cf3ac15434:33597/
[rosmaster.master][INFO] 2021-06-21 07:44:08,242: +SERVICE [/gazebo/set_joint_properties] /gazebo http://c0cf3ac15434:33597/
[rosmaster.master][INFO] 2021-06-21 07:44:08,242: +SERVICE [/gazebo/set_link_state] /gazebo http://c0cf3ac15434:33597/
[rosmaster.master][INFO] 2021-06-21 07:44:08,246: +SUB [/gazebo/set_link_state] /gazebo http://c0cf3ac15434:33597/
[rosmaster.master][INFO] 2021-06-21 07:44:08,250: +SUB [/gazebo/set_model_state] /gazebo http://c0cf3ac15434:33597/
[rosmaster.master][INFO] 2021-06-21 07:44:08,251: +SERVICE [/gazebo/pause_physics] /gazebo http://c0cf3ac15434:33597/
[rosmaster.master][INFO] 2021-06-21 07:44:08,251: +SERVICE [/gazebo/unpause_physics] /gazebo http://c0cf3ac15434:33597/
[rosmaster.master][INFO] 2021-06-21 07:44:08,252: +SERVICE [/gazebo/apply_body_wrench] /gazebo http://c0cf3ac15434:33597/
[rosmaster.master][INFO] 2021-06-21 07:44:08,253: +SERVICE [/gazebo/apply_joint_effort] /gazebo http://c0cf3ac15434:33597/
[rosmaster.master][INFO] 2021-06-21 07:44:08,253: +SERVICE [/gazebo/clear_joint_forces] /gazebo http://c0cf3ac15434:33597/
[rosmaster.master][INFO] 2021-06-21 07:44:08,254: +SERVICE [/gazebo/clear_body_wrenches] /gazebo http://c0cf3ac15434:33597/
[rosmaster.master][INFO] 2021-06-21 07:44:08,255: +SERVICE [/gazebo/reset_simulation] /gazebo http://c0cf3ac15434:33597/
[rosmaster.master][INFO] 2021-06-21 07:44:08,256: +SERVICE [/gazebo/reset_world] /gazebo http://c0cf3ac15434:33597/
[rosmaster.master][INFO] 2021-06-21 07:44:08,377: +SERVICE [/gazebo/set_parameters] /gazebo http://c0cf3ac15434:33597/
[rosmaster.master][INFO] 2021-06-21 07:44:08,378: +PUB [/gazebo/parameter_descriptions] /gazebo http://c0cf3ac15434:33597/
[rosmaster.master][INFO] 2021-06-21 07:44:08,378: +PUB [/gazebo/parameter_updates] /gazebo http://c0cf3ac15434:33597/
[rosmaster.master][INFO] 2021-06-21 07:44:08,388: +PARAM [/gazebo/time_step] by /gazebo
[rosmaster.master][INFO] 2021-06-21 07:44:08,389: +PARAM [/gazebo/max_update_rate] by /gazebo
[rosmaster.master][INFO] 2021-06-21 07:44:08,390: +PARAM [/gazebo/gravity_x] by /gazebo
[rosmaster.master][INFO] 2021-06-21 07:44:08,390: +PARAM [/gazebo/gravity_y] by /gazebo
[rosmaster.master][INFO] 2021-06-21 07:44:08,391: +PARAM [/gazebo/gravity_z] by /gazebo
[rosmaster.master][INFO] 2021-06-21 07:44:08,392: +PARAM [/gazebo/auto_disable_bodies] by /gazebo
[rosmaster.master][INFO] 2021-06-21 07:44:08,393: +PARAM [/gazebo/sor_pgs_precon_iters] by /gazebo
[rosmaster.master][INFO] 2021-06-21 07:44:08,393: +PARAM [/gazebo/sor_pgs_iters] by /gazebo
[rosmaster.master][INFO] 2021-06-21 07:44:08,394: +PARAM [/gazebo/sor_pgs_w] by /gazebo
[rosmaster.master][INFO] 2021-06-21 07:44:08,395: +PARAM [/gazebo/sor_pgs_rms_error_tol] by /gazebo
[rosmaster.master][INFO] 2021-06-21 07:44:08,395: +PARAM [/gazebo/cfm] by /gazebo
[rosmaster.master][INFO] 2021-06-21 07:44:08,396: +PARAM [/gazebo/erp] by /gazebo
[rosmaster.master][INFO] 2021-06-21 07:44:08,397: +PARAM [/gazebo/contact_surface_layer] by /gazebo
[rosmaster.master][INFO] 2021-06-21 07:44:08,397: +PARAM [/gazebo/contact_max_correcting_vel] by /gazebo
[rosmaster.master][INFO] 2021-06-21 07:44:08,398: +PARAM [/gazebo/max_contacts] by /gazebo
[rosmaster.master][INFO] 2021-06-21 07:44:08,400: +PARAM [/gazebo/time_step] by /gazebo
[rosmaster.master][INFO] 2021-06-21 07:44:08,401: +PARAM [/gazebo/max_update_rate] by /gazebo
[rosmaster.master][INFO] 2021-06-21 07:44:08,401: +PARAM [/gazebo/gravity_x] by /gazebo
[rosmaster.master][INFO] 2021-06-21 07:44:08,402: +PARAM [/gazebo/gravity_y] by /gazebo
[rosmaster.master][INFO] 2021-06-21 07:44:08,402: +PARAM [/gazebo/gravity_z] by /gazebo
[rosmaster.master][INFO] 2021-06-21 07:44:08,403: +PARAM [/gazebo/auto_disable_bodies] by /gazebo
[rosmaster.master][INFO] 2021-06-21 07:44:08,403: +PARAM [/gazebo/sor_pgs_precon_iters] by /gazebo
[rosmaster.master][INFO] 2021-06-21 07:44:08,404: +PARAM [/gazebo/sor_pgs_iters] by /gazebo
[rosmaster.master][INFO] 2021-06-21 07:44:08,405: +PARAM [/gazebo/sor_pgs_w] by /gazebo
[rosmaster.master][INFO] 2021-06-21 07:44:08,405: +PARAM [/gazebo/sor_pgs_rms_error_tol] by /gazebo
[rosmaster.master][INFO] 2021-06-21 07:44:08,406: +PARAM [/gazebo/cfm] by /gazebo
[rosmaster.master][INFO] 2021-06-21 07:44:08,407: +PARAM [/gazebo/erp] by /gazebo
[rosmaster.master][INFO] 2021-06-21 07:44:08,407: +PARAM [/gazebo/contact_surface_layer] by /gazebo
[rosmaster.master][INFO] 2021-06-21 07:44:08,408: +PARAM [/gazebo/contact_max_correcting_vel] by /gazebo
[rosmaster.master][INFO] 2021-06-21 07:44:08,409: +PARAM [/gazebo/max_contacts] by /gazebo
[rosmaster.master][INFO] 2021-06-21 07:44:08,417: +PUB [/rosout] /gazebo_gui http://c0cf3ac15434:36421/
[rosmaster.master][INFO] 2021-06-21 07:44:08,418: +SERVICE [/gazebo_gui/get_loggers] /gazebo_gui http://c0cf3ac15434:36421/
[rosmaster.master][INFO] 2021-06-21 07:44:08,419: +SERVICE [/gazebo_gui/set_logger_level] /gazebo_gui http://c0cf3ac15434:36421/
[rosmaster.master][INFO] 2021-06-21 07:44:08,424: +SUB [/clock] /gazebo_gui http://c0cf3ac15434:36421/
[rosmaster.master][INFO] 2021-06-21 07:44:08,426: publisherUpdate[/rosout] -> http://c0cf3ac15434:44531/ ['http://c0cf3ac15434:33609/', 'http://c0cf3ac15434:33597/', 'http://c0cf3ac15434:36421/']
[rosmaster.master][INFO] 2021-06-21 07:44:08,427: publisherUpdate[/rosout] -> http://c0cf3ac15434:44531/ ['http://c0cf3ac15434:33609/', 'http://c0cf3ac15434:33597/', 'http://c0cf3ac15434:36421/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2021-06-21 07:44:08,427: +SERVICE [/gazebo_gui/set_parameters] /gazebo_gui http://c0cf3ac15434:36421/
[rosmaster.master][INFO] 2021-06-21 07:44:08,428: +PUB [/gazebo_gui/parameter_descriptions] /gazebo_gui http://c0cf3ac15434:36421/
[rosmaster.master][INFO] 2021-06-21 07:44:08,428: +PUB [/gazebo_gui/parameter_updates] /gazebo_gui http://c0cf3ac15434:36421/
[rosmaster.master][INFO] 2021-06-21 07:44:08,436: +PARAM [/gazebo_gui/time_step] by /gazebo_gui
[rosmaster.master][INFO] 2021-06-21 07:44:08,437: +PARAM [/gazebo_gui/max_update_rate] by /gazebo_gui
[rosmaster.master][INFO] 2021-06-21 07:44:08,437: +PARAM [/gazebo_gui/gravity_x] by /gazebo_gui
[rosmaster.master][INFO] 2021-06-21 07:44:08,438: +PARAM [/gazebo_gui/gravity_y] by /gazebo_gui
[rosmaster.master][INFO] 2021-06-21 07:44:08,438: +PARAM [/gazebo_gui/gravity_z] by /gazebo_gui
[rosmaster.master][INFO] 2021-06-21 07:44:08,439: +PARAM [/gazebo_gui/auto_disable_bodies] by /gazebo_gui
[rosmaster.master][INFO] 2021-06-21 07:44:08,439: +PARAM [/gazebo_gui/sor_pgs_precon_iters] by /gazebo_gui
[rosmaster.master][INFO] 2021-06-21 07:44:08,440: +PARAM [/gazebo_gui/sor_pgs_iters] by /gazebo_gui
[rosmaster.master][INFO] 2021-06-21 07:44:08,441: +PARAM [/gazebo_gui/sor_pgs_w] by /gazebo_gui
[rosmaster.master][INFO] 2021-06-21 07:44:08,442: +PARAM [/gazebo_gui/sor_pgs_rms_error_tol] by /gazebo_gui
[rosmaster.master][INFO] 2021-06-21 07:44:08,442: +PARAM [/gazebo_gui/cfm] by /gazebo_gui
[rosmaster.master][INFO] 2021-06-21 07:44:08,443: +PARAM [/gazebo_gui/erp] by /gazebo_gui
[rosmaster.master][INFO] 2021-06-21 07:44:08,444: +PARAM [/gazebo_gui/contact_surface_layer] by /gazebo_gui
[rosmaster.master][INFO] 2021-06-21 07:44:08,444: +PARAM [/gazebo_gui/contact_max_correcting_vel] by /gazebo_gui
[rosmaster.master][INFO] 2021-06-21 07:44:08,445: +PARAM [/gazebo_gui/max_contacts] by /gazebo_gui
[rosmaster.master][INFO] 2021-06-21 07:44:08,447: +PARAM [/gazebo_gui/time_step] by /gazebo_gui
[rosmaster.master][INFO] 2021-06-21 07:44:08,447: +PARAM [/gazebo_gui/max_update_rate] by /gazebo_gui
[rosmaster.master][INFO] 2021-06-21 07:44:08,448: +PARAM [/gazebo_gui/gravity_x] by /gazebo_gui
[rosmaster.master][INFO] 2021-06-21 07:44:08,449: +PARAM [/gazebo_gui/gravity_y] by /gazebo_gui
[rosmaster.master][INFO] 2021-06-21 07:44:08,449: +PARAM [/gazebo_gui/gravity_z] by /gazebo_gui
[rosmaster.master][INFO] 2021-06-21 07:44:08,450: +PARAM [/gazebo_gui/auto_disable_bodies] by /gazebo_gui
[rosmaster.master][INFO] 2021-06-21 07:44:08,451: +PARAM [/gazebo_gui/sor_pgs_precon_iters] by /gazebo_gui
[rosmaster.master][INFO] 2021-06-21 07:44:08,451: +PARAM [/gazebo_gui/sor_pgs_iters] by /gazebo_gui
[rosmaster.master][INFO] 2021-06-21 07:44:08,452: +PARAM [/gazebo_gui/sor_pgs_w] by /gazebo_gui
[rosmaster.master][INFO] 2021-06-21 07:44:08,453: +PARAM [/gazebo_gui/sor_pgs_rms_error_tol] by /gazebo_gui
[rosmaster.master][INFO] 2021-06-21 07:44:08,453: +PARAM [/gazebo_gui/cfm] by /gazebo_gui
[rosmaster.master][INFO] 2021-06-21 07:44:08,454: +PARAM [/gazebo_gui/erp] by /gazebo_gui
[rosmaster.master][INFO] 2021-06-21 07:44:08,455: +PARAM [/gazebo_gui/contact_surface_layer] by /gazebo_gui
[rosmaster.master][INFO] 2021-06-21 07:44:08,455: +PARAM [/gazebo_gui/contact_max_correcting_vel] by /gazebo_gui
[rosmaster.master][INFO] 2021-06-21 07:44:08,456: +PARAM [/gazebo_gui/max_contacts] by /gazebo_gui
[rosmaster.master][INFO] 2021-06-21 07:44:09,237: +PUB [/rosout] /racecar_spawn http://c0cf3ac15434:41013/
[rosmaster.master][INFO] 2021-06-21 07:44:09,242: +SUB [/clock] /racecar_spawn http://c0cf3ac15434:41013/
[rosmaster.master][INFO] 2021-06-21 07:44:09,244: +SERVICE [/racecar_spawn/get_loggers] /racecar_spawn http://c0cf3ac15434:41013/
[rosmaster.master][INFO] 2021-06-21 07:44:09,245: +SERVICE [/racecar_spawn/set_logger_level] /racecar_spawn http://c0cf3ac15434:41013/
[rosmaster.master][INFO] 2021-06-21 07:44:09,328: publisherUpdate[/rosout] -> http://c0cf3ac15434:44531/ ['http://c0cf3ac15434:33609/', 'http://c0cf3ac15434:33597/', 'http://c0cf3ac15434:36421/', 'http://c0cf3ac15434:41013/']
[rosmaster.master][INFO] 2021-06-21 07:44:09,329: publisherUpdate[/rosout] -> http://c0cf3ac15434:44531/ ['http://c0cf3ac15434:33609/', 'http://c0cf3ac15434:33597/', 'http://c0cf3ac15434:36421/', 'http://c0cf3ac15434:41013/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2021-06-21 07:44:09,475: +PUB [/rosout] /racecar/controller_manager http://c0cf3ac15434:33085/
[rosmaster.master][INFO] 2021-06-21 07:44:09,492: -SUB [/clock] /racecar_spawn http://c0cf3ac15434:41013/
[rosmaster.master][INFO] 2021-06-21 07:44:09,492: -PUB [/rosout] /racecar_spawn http://c0cf3ac15434:41013/
[rosmaster.master][INFO] 2021-06-21 07:44:09,493: -SERVICE [/racecar_spawn/get_loggers] /racecar_spawn rosrpc://c0cf3ac15434:34917
[rosmaster.master][INFO] 2021-06-21 07:44:09,493: -SERVICE [/racecar_spawn/set_logger_level] /racecar_spawn rosrpc://c0cf3ac15434:34917
[rosmaster.master][INFO] 2021-06-21 07:44:09,494: +SUB [/clock] /racecar/controller_manager http://c0cf3ac15434:33085/
